ImageIndex,Shots,Fidelity
5262,100,0.7479879087484667
5262,200,0.906973863468246
5262,300,0.9025712884040726
5262,400,0.8732775485479979
5262,500,0.9387516923003694
5262,600,0.9370562813949869
5262,700,0.9469617656033659
5262,800,0.96503632717336
5262,900,0.9606223798567554
5262,1000,0.9703374990098432
5262,1100,0.9734246200376323
5262,1200,0.9801763730838896
5262,1300,0.9707095965595899
5262,1400,0.9699784808659259
5262,1500,0.9846309981662139
5262,1600,0.9782989312848558
5262,1700,0.9718313345542633
5262,1800,0.9799558208005064
5262,1900,0.9746974238560582
5262,2000,0.9810414756113561
6501,100,0.6394784618372947
6501,200,0.8444336501252264
6501,300,0.879828958466527
6501,400,0.894747286461175
6501,500,0.9493107685491344
6501,600,0.9256550755047063
6501,700,0.9390848701506639
6501,800,0.966031248129125
6501,900,0.9434734524005393
6501,1000,0.9680280162792124
6501,1100,0.9637373201802618
6501,1200,0.9722908271166747
6501,1300,0.9668707477662287
6501,1400,0.9616317346795247
6501,1500,0.9862629073485121
6501,1600,0.9757837327742709
6501,1700,0.9859501795339299
6501,1800,0.9639307096423706
6501,1900,0.9655850967276091
6501,2000,0.9811161477259842
13342,100,0.44659636548510956
13342,200,0.6409791835340521
13342,300,0.9689789157241815
13342,400,0.8733114472664599
13342,500,0.9202333325134681
13342,600,0.8645960133993521
13342,700,0.9139463646330447
13342,800,0.9575478432786241
13342,900,0.9670208776846778
13342,1000,0.9671986723064019
13342,1100,0.9451377980078323
13342,1200,0.9857381503054886
13342,1300,0.9450128620852933
13342,1400,0.968212775030293
13342,1500,0.9792309253871867
13342,1600,0.9651420570506641
13342,1700,0.9768607846385848
13342,1800,0.983839711243376
13342,1900,0.9917830605567127
13342,2000,0.9819121344410071
13980,100,0.7376975425315284
13980,200,0.8814080836964641
13980,300,0.8748597589744603
13980,400,0.897557834710331
13980,500,0.9088300846798896
13980,600,0.9210027440451345
13980,700,0.9005832680661496
13980,800,0.9433529103233032
13980,900,0.9196635300564013
13980,1000,0.944159128428947
13980,1100,0.9732730764087109
13980,1200,0.9248016963689251
13980,1300,0.9199573421135442
13980,1400,0.9822461251008101
13980,1500,0.9899582889127084
13980,1600,0.9496541101049557
13980,1700,0.961739359613401
13980,1800,0.9881276878838258
13980,1900,0.9860441491251869
13980,2000,0.9765639135251754
16848,100,0.5192852459435703
16848,200,0.6608632448949313
16848,300,0.9193950353745288
16848,400,0.9303261123019834
16848,500,0.9538883924665236
16848,600,0.9416244446455788
16848,700,0.9413540642019717
16848,800,0.863167631128405
16848,900,0.9770387306659495
16848,1000,0.9801701747813376
16848,1100,0.9737505454081
16848,1200,0.974798496352578
16848,1300,0.9535219844804672
16848,1400,0.9736357672107542
16848,1500,0.9845647304940911
16848,1600,0.9794935891783486
16848,1700,0.9789574259588311
16848,1800,0.9847768451279952
16848,1900,0.9855430494194489
16848,2000,0.9854087446760832
17207,100,0.3963732800995578
17207,200,0.6718064264345823
17207,300,0.8292792679491581
17207,400,0.8861251539813735
17207,500,0.8868963887175291
17207,600,0.9415834964193651
17207,700,0.9599836800610841
17207,800,0.9711546683772565
17207,900,0.9648238482669452
17207,1000,0.9686466369296308
17207,1100,0.9739067545173135
17207,1200,0.950827734514482
17207,1300,0.9715415134522137
17207,1400,0.9822402752585032
17207,1500,0.9645721892629168
17207,1600,0.9620166009313548
17207,1700,0.9651826699139471
17207,1800,0.9696889171901082
17207,1900,0.9679670724210078
17207,2000,0.9810817032436626
17886,100,0.560573005741795
17886,200,0.7603042255705097
17886,300,0.9279051955081532
17886,400,0.9396490064244251
17886,500,0.9470496604396049
17886,600,0.9614133890435576
17886,700,0.8991900350636645
17886,800,0.9769599838451632
17886,900,0.9666482565697649
17886,1000,0.9764192670780419
17886,1100,0.9597358661259262
17886,1200,0.9760671801677467
17886,1300,0.9675042324603089
17886,1400,0.9861425733060168
17886,1500,0.9690053236640789
17886,1600,0.9726463813065592
17886,1700,0.9872399584386874
17886,1800,0.9726111858435518
17886,1900,0.9634323503258487
17886,2000,0.9786352807274685
19167,100,0.3694578539226006
19167,200,0.6859731816275942
19167,300,0.8901059100630361
19167,400,0.7908192933526775
19167,500,0.9463919010285811
19167,600,0.9602750232124775
19167,700,0.9222427137509408
19167,800,0.9071438642509176
19167,900,0.9505117690866718
19167,1000,0.9526572336533652
19167,1100,0.981136744505845
19167,1200,0.9639086303651612
19167,1300,0.9553896371281381
19167,1400,0.9887695568782652
19167,1500,0.9772862418498758
19167,1600,0.9800231642382766
19167,1700,0.975158383844337
19167,1800,0.9815817994324716
19167,1900,0.9912172311190177
19167,2000,0.9909185015037011
29290,100,0.6343100940881213
29290,200,0.8636378420748496
29290,300,0.9019010708349792
29290,400,0.9090326524517927
29290,500,0.9268067540930667
29290,600,0.9267009167136614
29290,700,0.9367930867697176
29290,800,0.8838857421666829
29290,900,0.9465501007116587
29290,1000,0.9716988691757295
29290,1100,0.9888473058325004
29290,1200,0.9834076850380682
29290,1300,0.9544629476404806
29290,1400,0.9658518620543312
29290,1500,0.9764585956046786
29290,1600,0.9863165005243097
29290,1700,0.9853682511022713
29290,1800,0.9804111104090337
29290,1900,0.9782623376181955
29290,2000,0.9789738064011566
41125,100,0.6731149693078708
41125,200,0.6712025457634423
41125,300,0.8941057885374611
41125,400,0.8239778314278826
41125,500,0.934943084855856
41125,600,0.9311214701419317
41125,700,0.8538857452293029
41125,800,0.949479823302116
41125,900,0.9383368343781006
41125,1000,0.9298797909073953
41125,1100,0.9136461171339044
41125,1200,0.9552420226052124
41125,1300,0.9508632606569598
41125,1400,0.9627189613827788
