Shots,Fidelity
100,0.665466011848955
200,0.8265570834258098
300,0.8124461254928016
400,0.948838156861065
500,0.9617985911142574
600,0.9204620409451764
700,0.9777313754180189
800,0.9639472175439745
900,0.9478553943078505
1000,0.9624022937960867
1100,0.94722947025879
1200,0.961265238635376
1300,0.9770166459376894
1400,0.9618232512407004
1500,0.9741040665355337
1600,0.9842997003687654
1700,0.980838014465555
1800,0.9650037615781035
1900,0.9895182600268846
2000,0.9845791838504039
2100,0.9806812251826421
2200,0.9880517653603007
2300,0.989092068334899
2400,0.9891845415940042
2500,0.991729981658385
2600,0.9884433295877583
2700,0.9821538174729426
2800,0.985114479800521
2900,0.9939536910129229
3000,0.9914927558153267
3100,0.9885732094695091
3200,0.9857286844334459
3300,0.9934611227425298
3400,0.9931501480918672
3500,0.9965529912338414
3600,0.9942850327377087
3700,0.9911352633806986
3800,0.9903334758333382
3900,0.9909205171984964
4000,0.9877927606963828
4100,0.9947725265090807
4200,0.990759135997991
4300,0.9924061998483447
4400,0.9949041756961636
4500,0.99542512651571
4600,0.9973353259870701
4700,0.9905658782871213
4800,0.9904841409567161
4900,0.9948364763058284
5000,0.9925005966135444
