ImageIndex,Shots,MAE
2516,100,0.7098345756530762
2516,151,0.7109068632125854
2516,227,0.7338235378265381
2516,342,0.8249693512916565
2516,515,0.8815257400274277
2516,776,0.8871017172932625
2516,1170,0.9100490212440491
2516,1762,0.943688727915287
2516,2655,0.9653798937797546
2516,4000,0.9470894560217857
8149,100,0.7767769694328308
8149,151,0.7940563708543777
8149,227,0.8119485378265381
8149,342,0.8464767187833786
8149,515,0.8501531928777695
8149,776,0.8635110259056091
8149,1170,0.9186887294054031
8149,1762,0.9431985355913639
8149,2655,0.9393075965344906
8149,4000,0.9616727903485298
13545,100,0.7384803593158722
13545,151,0.7534313648939133
13545,227,0.7801470309495926
13545,342,0.8473039120435715
13545,515,0.7999591380357742
13545,776,0.9045751690864563
13545,1170,0.9279411658644676
13545,1762,0.9111111089587212
13545,2655,0.9334150180220604
13545,4000,0.9497957527637482
14621,100,0.778986930847168
14621,151,0.7863072007894516
14621,227,0.8044444471597672
14621,342,0.8360130786895752
14621,515,0.8674509823322296
14621,776,0.9116666689515114
14621,1170,0.8960784375667572
14621,1762,0.9285620972514153
14621,2655,0.9323856309056282
14621,4000,0.9491829983890057
18758,100,0.6183823347091675
18758,151,0.7997549027204514
18758,227,0.8332720696926117
18758,342,0.8099877387285233
18758,515,0.820526972413063
18758,776,0.9549019709229469
18758,1170,0.9227941036224365
18758,1762,0.956617645919323
18758,2655,0.9786764625459909
18758,4000,0.9570465609431267
27038,100,0.7476392984390259
27038,151,0.7611584216356277
27038,227,0.8366744071245193
27038,342,0.8107714205980301
27038,515,0.8931759521365166
27038,776,0.8750903010368347
27038,1170,0.9369840025901794
27038,1762,0.9441821463406086
27038,2655,0.9536764584481716
27038,4000,0.9488261081278324
30555,100,0.6972662210464478
30555,151,0.7209087610244751
30555,227,0.7238122224807739
30555,342,0.785426065325737
30555,515,0.891496978700161
30555,776,0.8582390546798706
30555,1170,0.9178921654820442
30555,1762,0.9164592772722244
30555,2655,0.9326357543468475
30555,4000,0.95394042506814
36342,100,0.6040304899215698
36342,151,0.8489651381969452
36342,227,0.8027777522802353
36342,342,0.8491285443305969
36342,515,0.8332244157791138
36342,776,0.9082244113087654
36342,1170,0.9456971623003483
36342,1762,0.946187362074852
36342,2655,0.9127995669841766
36342,4000,0.9460784196853638
39283,100,0.7050521969795227
39283,151,0.7696948051452637
39283,227,0.7989958822727203
39283,342,0.8544512987136841
39283,515,0.8322027325630188
39283,776,0.9003557935357094
39283,1170,0.9095271900296211
39283,1762,0.9269370660185814
39283,2655,0.9366935417056084
39283,4000,0.9581989236176014
41319,100,0.7605742365121841
41319,151,0.8133753538131714
41319,227,0.7026960551738739
41319,342,0.8144257813692093
41319,515,0.8609593957662582
41319,776,0.8844187706708908
41319,1170,0.9142506942152977
41319,1762,0.9375350214540958
41319,2655,0.9128501415252686
41319,4000,0.9556372426450253
